id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
conf_1048_1_1,commons-configuration2,TestEventListenerList,testReceiveEventOfExactType_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertNotNull
conf_1048_1_2,commons-configuration2,TestEventListenerList,testReceiveEventOfExactType_1_oe_2_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1048_1_3,commons-configuration2,TestEventListenerList,testReceiveEventOfExactType_1_oe_3_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1048_1_4,commons-configuration2,TestEventListenerList,testReceiveEventOfExactType_1_oe_4_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1049_1_1,commons-configuration2,TestEventListenerList,testReceiveEventSubType_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertNotNull
conf_1049_1_2,commons-configuration2,TestEventListenerList,testReceiveEventSubType_1_oe_2_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1049_1_3,commons-configuration2,TestEventListenerList,testReceiveEventSubType_1_oe_3_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1049_1_4,commons-configuration2,TestEventListenerList,testReceiveEventSubType_1_oe_4_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1050_2_1,commons-configuration2,TestEventListenerList,testRemoveEventListenerExisting_2_oe_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertNull
conf_1056_1_1,commons-configuration2,TestEventListenerList,testSuppressEventOfSuperType_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertNull
conf_1166_1_1,commons-configuration2,TestReloadingFileBasedConfigurationBuilder,testReloadingControllerEvents_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/builder/TestReloadingFileBasedConfigurationBuilder.java,,,,assert,unknown,standard,assertFalse
conf_1170_2_1,commons-configuration2,TestReloadingBuilderSupportListener,testResetBuilderOnReloadingEvent_2_oe_1_oe,src/test/java/org/apache/commons/configuration2/builder/TestReloadingBuilderSupportListener.java,,,,assert,unknown,standard,assertFalse
conf_1217_3_1,commons-configuration2,TestBasicConfigurationBuilderEvents,testBuilderResetEvent_3_oe_1_oe,src/test/java/org/apache/commons/configuration2/builder/TestBasicConfigurationBuilderEvents.java,,,,assert,unknown,standard,assertFalse
conf_1219_2_1,commons-configuration2,TestBasicConfigurationBuilderEvents,testConfigurationRequestEvent_2_oe_1_oe,src/test/java/org/apache/commons/configuration2/builder/TestBasicConfigurationBuilderEvents.java,,,,assert,unknown,standard,assertFalse
conf_1221_2_1,commons-configuration2,TestBasicConfigurationBuilderEvents,testRemoveEventListener_2_oe_1_oe,src/test/java/org/apache/commons/configuration2/builder/TestBasicConfigurationBuilderEvents.java,,,,assert,unknown,standard,assertFalse
conf_1223_2_1,commons-configuration2,TestBasicConfigurationBuilderEvents,testResetOnConfigurationRequestEvent_2_oe_1_oe,src/test/java/org/apache/commons/configuration2/builder/TestBasicConfigurationBuilderEvents.java,,,,assert,unknown,standard,assertFalse
conf_1321_5_1,commons-configuration2,TestCombinedConfigurationBuilder,testMultiTenentConfigurationReloading_5_oe_1_oe,src/test/java/org/apache/commons/configuration2/builder/combined/TestCombinedConfigurationBuilder.java,,,,assert,unknown,standard,assertFalse
conf_1321_6_1,commons-configuration2,TestCombinedConfigurationBuilder,testMultiTenentConfigurationReloading_6_oe_1_oe,src/test/java/org/apache/commons/configuration2/builder/combined/TestCombinedConfigurationBuilder.java,,,,assert,unknown,standard,assertFalse
conf_1355_3_1,commons-configuration2,TestMultiFileConfigurationBuilder,testBuilderListenerOtherTypes_3_oe_1_oe,src/test/java/org/apache/commons/configuration2/builder/combined/TestMultiFileConfigurationBuilder.java,,,,assert,unknown,standard,assertFalse
conf_1366_1_1,commons-configuration2,TestMultiFileConfigurationBuilder,testRemoveBuilderListenerOnReset_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/builder/combined/TestMultiFileConfigurationBuilder.java,,,,assert,unknown,standard,assertFalse
