id,project,test_class,test_name,test_file_path,focal_file_path,focal_class,focal_package,oracle_type,junit_version,assert_kind,assert_name
conf_251_1_2,commons-configuration2,TestPropertiesConfiguration,testSaveWithDefaultListDelimiterHandler_1_oe_2_oe,src/test/java/org/apache/commons/configuration2/TestPropertiesConfiguration.java,,,,assert,unknown,standard,assertEquals
conf_251_1_3,commons-configuration2,TestPropertiesConfiguration,testSaveWithDefaultListDelimiterHandler_1_oe_3_oe,src/test/java/org/apache/commons/configuration2/TestPropertiesConfiguration.java,,,,assert,unknown,standard,assertTrue
conf_252_1_1,commons-configuration2,TestPropertiesConfiguration,testSaveWithDelimiterParsingDisabled_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/TestPropertiesConfiguration.java,,,,assert,unknown,standard,assertTrue
conf_252_1_2,commons-configuration2,TestPropertiesConfiguration,testSaveWithDelimiterParsingDisabled_1_oe_2_oe,src/test/java/org/apache/commons/configuration2/TestPropertiesConfiguration.java,,,,assert,unknown,standard,assertEquals
conf_252_1_3,commons-configuration2,TestPropertiesConfiguration,testSaveWithDelimiterParsingDisabled_1_oe_3_oe,src/test/java/org/apache/commons/configuration2/TestPropertiesConfiguration.java,,,,assert,unknown,standard,assertTrue
conf_928_1_1,commons-configuration2,TestClasspathLocationStrategy,testLocateSuccess_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/io/TestClasspathLocationStrategy.java,,,,assert,unknown,standard,assertTrue
conf_928_1_2,commons-configuration2,TestClasspathLocationStrategy,testLocateSuccess_1_oe_2_oe,src/test/java/org/apache/commons/configuration2/io/TestClasspathLocationStrategy.java,,,,assert,unknown,standard,assertEquals
conf_928_1_3,commons-configuration2,TestClasspathLocationStrategy,testLocateSuccess_1_oe_3_oe,src/test/java/org/apache/commons/configuration2/io/TestClasspathLocationStrategy.java,,,,assert,unknown,standard,assertTrue
conf_1044_1_1,commons-configuration2,TestEventListenerList,testListenerRegistrationWithListenerData_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertNotNull
conf_1044_1_2,commons-configuration2,TestEventListenerList,testListenerRegistrationWithListenerData_1_oe_2_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1044_1_3,commons-configuration2,TestEventListenerList,testListenerRegistrationWithListenerData_1_oe_3_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1044_1_4,commons-configuration2,TestEventListenerList,testListenerRegistrationWithListenerData_1_oe_4_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1045_1_1,commons-configuration2,TestEventListenerList,testMultipleListenerRegistration_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertNotNull
conf_1045_1_2,commons-configuration2,TestEventListenerList,testMultipleListenerRegistration_1_oe_2_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1045_1_3,commons-configuration2,TestEventListenerList,testMultipleListenerRegistration_1_oe_3_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1045_1_4,commons-configuration2,TestEventListenerList,testMultipleListenerRegistration_1_oe_4_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1046_1_1,commons-configuration2,TestEventListenerList,testReceiveEventDifferentType_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertNotNull
conf_1046_1_2,commons-configuration2,TestEventListenerList,testReceiveEventDifferentType_1_oe_2_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1046_1_3,commons-configuration2,TestEventListenerList,testReceiveEventDifferentType_1_oe_3_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1046_1_4,commons-configuration2,TestEventListenerList,testReceiveEventDifferentType_1_oe_4_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1047_1_1,commons-configuration2,TestEventListenerList,testReceiveEventMultipleListeners_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertNotNull
conf_1047_1_2,commons-configuration2,TestEventListenerList,testReceiveEventMultipleListeners_1_oe_2_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1047_1_3,commons-configuration2,TestEventListenerList,testReceiveEventMultipleListeners_1_oe_3_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1047_1_4,commons-configuration2,TestEventListenerList,testReceiveEventMultipleListeners_1_oe_4_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1047_2_1,commons-configuration2,TestEventListenerList,testReceiveEventMultipleListeners_2_oe_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertNotNull
conf_1047_2_2,commons-configuration2,TestEventListenerList,testReceiveEventMultipleListeners_2_oe_2_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1047_2_3,commons-configuration2,TestEventListenerList,testReceiveEventMultipleListeners_2_oe_3_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1047_2_4,commons-configuration2,TestEventListenerList,testReceiveEventMultipleListeners_2_oe_4_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1048_1_1,commons-configuration2,TestEventListenerList,testReceiveEventOfExactType_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertNotNull
conf_1048_1_2,commons-configuration2,TestEventListenerList,testReceiveEventOfExactType_1_oe_2_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1048_1_3,commons-configuration2,TestEventListenerList,testReceiveEventOfExactType_1_oe_3_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1048_1_4,commons-configuration2,TestEventListenerList,testReceiveEventOfExactType_1_oe_4_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1049_1_1,commons-configuration2,TestEventListenerList,testReceiveEventSubType_1_oe_1_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertNotNull
conf_1049_1_2,commons-configuration2,TestEventListenerList,testReceiveEventSubType_1_oe_2_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1049_1_3,commons-configuration2,TestEventListenerList,testReceiveEventSubType_1_oe_3_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1049_1_4,commons-configuration2,TestEventListenerList,testReceiveEventSubType_1_oe_4_oe,src/test/java/org/apache/commons/configuration2/event/TestEventListenerList.java,,,,assert,unknown,standard,assertEquals
conf_1321_5_1,commons-configuration2,TestCombinedConfigurationBuilder,testMultiTenentConfigurationReloading_5_oe_1_oe,src/test/java/org/apache/commons/configuration2/builder/combined/TestCombinedConfigurationBuilder.java,,,,assert,unknown,standard,assertFalse
conf_1321_6_1,commons-configuration2,TestCombinedConfigurationBuilder,testMultiTenentConfigurationReloading_6_oe_1_oe,src/test/java/org/apache/commons/configuration2/builder/combined/TestCombinedConfigurationBuilder.java,,,,assert,unknown,standard,assertFalse
